16:14:23.471 INFO  - initializing database
16:14:23.471 INFO  - loading database... 
16:14:23.593 INFO  - success

16:14:23.600 INFO  - No net-file given. No network will be imported.
16:14:23.600 INFO  - parsing route file
16:14:23.661 INFO  - no global route definitions found (probably per vehicle routes?)
16:14:23.661 INFO  - no vehicle definitions found
16:14:23.661 INFO  - 

16:14:23.673 INFO  - processing flow 9/72     edge 23/89
16:14:23.674 INFO  - processing flow 9/72     edge 24/89
16:14:23.674 INFO  - processing flow 9/72     edge 25/89
16:14:23.674 INFO  - processing flow 9/72     edge 26/89
16:14:23.674 INFO  - processing flow 9/72     edge 27/89
16:14:23.674 INFO  - processing flow 9/72     edge 28/89
16:14:23.674 INFO  - processing flow 9/72     edge 29/89
16:14:23.674 INFO  - processing flow 9/72     edge 30/89
16:14:23.674 INFO  - processing flow 9/72     edge 31/89
16:14:23.674 INFO  - processing flow 9/72     edge 32/89
16:14:23.674 INFO  - processing flow 9/72     edge 33/89
16:14:23.674 INFO  - processing flow 9/72     edge 34/89
16:14:23.674 INFO  - processing flow 9/72     edge 35/89
16:14:23.674 INFO  - processing flow 9/72     edge 36/89
16:14:23.674 INFO  - processing flow 9/72     edge 37/89
16:14:23.674 INFO  - processing flow 9/72     edge 38/89
16:14:23.674 INFO  - processing flow 9/72     edge 39/89
16:14:23.674 INFO  - processing flow 9/72     edge 40/89
16:14:23.674 INFO  - processing flow 9/72     edge 41/89
16:14:23.674 INFO  - processing flow 9/72     edge 42/89
16:14:23.674 INFO  - processing flow 9/72     edge 43/89
16:14:23.674 INFO  - processing flow 9/72     edge 44/89
16:14:23.674 INFO  - processing flow 9/72     edge 45/89
16:14:23.674 INFO  - processing flow 9/72     edge 46/89
16:14:23.674 INFO  - processing flow 9/72     edge 47/89
16:14:23.674 INFO  - processing flow 9/72     edge 48/89
16:14:23.674 INFO  - processing flow 9/72     edge 49/89
16:14:23.674 INFO  - processing flow 9/72     edge 50/89
16:14:23.674 INFO  - processing flow 9/72     edge 51/89
16:14:23.674 INFO  - processing flow 9/72     edge 52/89
16:14:23.674 INFO  - processing flow 9/72     edge 53/89
16:14:23.674 INFO  - processing flow 9/72     edge 54/89
16:14:23.674 INFO  - processing flow 9/72     edge 55/89
16:14:23.674 INFO  - processing flow 9/72     edge 56/89
16:14:23.674 INFO  - processing flow 9/72     edge 57/89
16:14:23.674 INFO  - processing flow 9/72     edge 58/89
16:14:23.674 INFO  - processing flow 9/72     edge 59/89
16:14:23.674 INFO  - processing flow 9/72     edge 60/89
16:14:23.674 INFO  - processing flow 9/72     edge 61/89
16:14:23.674 INFO  - processing flow 9/72     edge 62/89
16:14:23.674 INFO  - processing flow 9/72     edge 63/89
16:14:23.674 INFO  - processing flow 9/72     edge 64/89
16:14:23.674 INFO  - processing flow 9/72     edge 65/89
16:14:23.674 INFO  - processing flow 9/72     edge 66/89
16:14:23.674 INFO  - processing flow 9/72     edge 67/89
16:14:23.674 INFO  - processing flow 9/72     edge 68/89
16:14:23.674 INFO  - processing flow 9/72     edge 69/89
16:14:23.674 INFO  - processing flow 9/72     edge 70/89
16:14:23.674 INFO  - processing flow 9/72     edge 71/89
16:14:23.674 INFO  - processing flow 9/72     edge 72/89
16:14:23.674 INFO  - processing flow 9/72     edge 73/89
16:14:23.674 INFO  - processing flow 9/72     edge 74/89
16:14:23.674 INFO  - processing flow 9/72     edge 75/89
16:14:23.674 INFO  - processing flow 9/72     edge 76/89
16:14:23.674 INFO  - processing flow 9/72     edge 77/89
16:14:23.674 INFO  - processing flow 9/72     edge 78/89
16:14:23.674 INFO  - processing flow 9/72     edge 79/89
16:14:23.674 INFO  - processing flow 9/72     edge 80/89
16:14:23.674 INFO  - processing flow 9/72     edge 81/89
16:14:23.674 INFO  - processing flow 9/72     edge 82/89
16:14:23.674 INFO  - processing flow 9/72     edge 83/89
16:14:23.674 INFO  - processing flow 9/72     edge 84/89
16:14:23.674 INFO  - processing flow 9/72     edge 85/89
16:14:23.674 INFO  - processing flow 9/72     edge 86/89
16:14:23.674 INFO  - processing flow 9/72     edge 87/89
16:14:23.674 INFO  - processing flow 9/72     edge 88/89
16:14:23.674 INFO  - processing flow 9/72     edge 89/89
16:14:23.674 WARN  - vehicle with id f_r2ps_to_onation has either no or an invalid starting time, assuming 0
16:14:23.674 INFO  - processing flow 10/72     
16:14:23.674 INFO  - processing flow 10/72     edge 1/28
16:14:23.674 INFO  - processing flow 10/72     edge 2/28
16:14:23.674 INFO  - processing flow 10/72     edge 3/28
16:14:23.674 INFO  - processing flow 10/72     edge 4/28
16:14:23.674 INFO  - processing flow 10/72     edge 5/28
16:14:23.674 INFO  - processing flow 10/72     edge 6/28
16:14:23.674 INFO  - processing flow 10/72     edge 7/28
16:14:23.674 INFO  - processing flow 10/72     edge 8/28
16:14:23.674 INFO  - processing flow 10/72     edge 9/28
16:14:23.674 INFO  - processing flow 10/72     edge 10/28
16:14:23.674 INFO  - processing flow 10/72     edge 11/28
16:14:23.674 INFO  - processing flow 10/72     edge 12/28
16:14:23.674 INFO  - processing flow 10/72     edge 13/28
16:14:23.674 INFO  - processing flow 10/72     edge 14/28
16:14:23.674 INFO  - processing flow 10/72     edge 15/28
16:14:23.674 INFO  - processing flow 10/72     edge 16/28
16:14:23.674 INFO  - processing flow 10/72     edge 17/28
16:14:23.674 INFO  - processing flow 10/72     edge 18/28
16:14:23.674 INFO  - processing flow 10/72     edge 19/28
16:14:23.674 INFO  - processing flow 10/72     edge 20/28
16:14:23.674 INFO  - processing flow 10/72     edge 21/28
16:14:23.674 INFO  - processing flow 10/72     edge 22/28
16:14:23.674 INFO  - processing flow 10/72     edge 23/28
16:14:23.674 INFO  - processing flow 10/72     edge 24/28
16:14:23.674 INFO  - processing flow 10/72     edge 25/28
16:14:23.674 INFO  - processing flow 10/72     edge 26/28
16:14:23.674 INFO  - processing flow 10/72     edge 27/28
16:14:23.675 INFO  - processing flow 10/72     edge 28/28
16:14:23.675 WARN  - vehicle with id f_r2pn_to_ach1 has either no or an invalid starting time, assuming 0
16:14:23.675 INFO  - processing flow 11/72     
16:14:23.675 INFO  - processing flow 11/72     edge 1/26
16:14:23.675 INFO  - processing flow 11/72     edge 2/26
16:14:23.675 INFO  - processing flow 11/72     edge 3/26
16:14:23.675 INFO  - processing flow 11/72     edge 4/26
16:14:23.675 INFO  - processing flow 11/72     edge 5/26
16:14:23.675 INFO  - processing flow 11/72     edge 6/26
16:14:23.675 INFO  - processing flow 11/72     edge 7/26
